Date,Stock Price,P/E,P/B,ROE,ROA
10/3/2014,4.87,4.6749,0.845,19.2584,1.3573
10/10/2014,4.89,4.689,0.8455,19.2316,1.3561
10/17/2014,4.92,4.6953,0.8457,19.2298,1.3546
10/24/2014,4.99,4.7441,0.8537,19.2108,1.3535
10/31/2014,5.13,4.9024,0.8781,19.1142,1.3483
11/7/2014,5,4.7751,0.8553,19.1041,1.3522
11/14/2014,5.11,4.8761,0.8731,19.0917,1.353
11/21/2014,4.96,4.7174,0.8438,19.0556,1.3498
11/28/2014,5.26,5.0314,0.8964,18.9969,1.346
12/5/2014,5.48,5.2524,0.9331,18.9621,1.345
12/12/2014,5.29,5.0753,0.9039,18.9611,1.3486
12/19/2014,5.37,5.1851,0.9202,18.8712,1.3487
12/26/2014,5.46,5.2601,0.9321,18.8409,1.3476
1/2/2015,5.77,5.5342,0.9816,18.9007,1.356
1/9/2015,5.73,5.5055,0.9648,18.6284,1.359
1/16/2015,5.68,5.4622,0.9557,18.6082,1.358
1/23/2015,5.84,5.6236,0.983,18.591,1.358
1/30/2015,5.58,5.3778,0.9379,18.5628,1.358
2/6/2015,5.61,5.392,0.9394,18.5451,1.358
2/13/2015,5.65,5.4243,0.9428,18.5225,1.358
2/20/2015,5.68,5.4631,0.947,18.4769,1.3571
2/27/2015,5.66,5.4518,0.9444,18.4607,1.3572
3/6/2015,5.44,5.2447,0.9052,18.4297,1.3506
3/13/2015,5.55,5.3473,0.9204,18.3769,1.3506
3/20/2015,5.69,5.4544,0.935,18.2585,1.3457
3/27/2015,5.5,5.4051,0.9003,17.6376,1.3162
4/3/2015,5.85,5.7288,0.9509,17.5409,1.3169
4/10/2015,6.27,6.1614,1.0177,17.4502,1.3217
4/17/2015,6.79,6.6536,1.094,17.3168,1.3117
4/24/2015,6.78,6.6433,1.0889,17.3108,1.3112
5/1/2015,6.74,6.6268,1.0784,17.2241,1.3027
5/8/2015,6.54,6.4486,1.0454,17.197,1.3022
5/15/2015,6.61,6.5165,1.0534,17.1365,1.3017
5/22/2015,6.8,6.7014,1.0791,17.1149,1.3011
5/29/2015,6.75,6.6377,1.0677,17.0928,1.3012
6/5/2015,6.62,6.5212,1.0463,17.0438,1.2983
6/12/2015,6.68,6.5939,1.0551,16.9818,1.295
6/19/2015,6.34,6.2544,0.9996,16.9587,1.2944
6/26/2015,6.6,6.5026,1.038,16.9355,1.2939
7/3/2015,6.21,6.1533,0.9738,16.7187,1.2889
7/10/2015,5.66,5.6139,0.8874,16.6949,1.2882
7/17/2015,5.69,5.6583,0.8885,16.5825,1.2829
7/24/2015,5.56,5.5347,0.8661,16.5211,1.279
7/31/2015,5.34,5.3105,0.83,16.4967,1.2782
8/7/2015,5.39,5.3575,0.8362,16.4722,1.2774
8/14/2015,5.25,5.3681,0.8367,16.4376,1.2752
8/21/2015,4.93,5.035,0.7838,16.5772,1.2745
8/28/2015,4.52,4.655,0.7187,16.217,1.2494
9/4/2015,4.4,4.537,0.6956,16.0871,1.2374
9/11/2015,4.7,4.8594,0.7427,16.032,1.2309
9/18/2015,4.75,4.9099,0.7482,15.9885,1.2275
9/25/2015,4.53,4.7041,0.7126,15.9412,1.2259
10/2/2015,4.55,4.7173,0.7133,15.8996,1.2218
10/9/2015,4.98,5.1465,0.7771,15.8714,1.2205
10/16/2015,5.04,5.2307,0.787,15.8431,1.2193
10/23/2015,5.14,5.3261,0.8002,15.8148,1.2181
10/30/2015,4.95,5.1034,0.7656,15.7822,1.213
11/6/2015,4.87,5.0901,0.7564,15.7441,1.2197
11/13/2015,4.75,4.9914,0.7388,15.6631,1.2182
11/20/2015,4.88,5.1346,0.7587,15.6337,1.2167
11/27/2015,4.69,4.9494,0.7295,15.6155,1.2124
12/4/2015,4.65,4.9179,0.7219,15.5362,1.2025
12/11/2015,4.52,4.8094,0.7073,15.517,1.2103
12/18/2015,4.68,5.0177,0.7341,15.4901,1.2069
12/25/2015,4.8,5.1431,0.7511,15.4601,1.2053
1/1/2016,4.68,5.0225,0.7325,15.436,1.204
1/8/2016,4.35,4.7617,0.69,15.2979,1.1886
1/15/2016,4.05,4.393,0.6361,15.2838,1.1882
1/22/2016,3.92,4.2716,0.6163,15.1818,1.1878
1/29/2016,4.03,4.386,0.6323,15.1677,1.1875
2/5/2016,3.99,4.3499,0.6245,15.1674,1.1809
2/12/2016,3.73,4.0801,0.5845,15.097,1.1693
2/19/2016,3.92,4.2619,0.6087,14.9907,1.1623
2/26/2016,3.87,4.2117,0.601,15.0304,1.162
3/4/2016,4.09,4.4434,0.6319,14.9615,1.1617
3/11/2016,4.15,4.5217,0.6383,14.8353,1.1492
3/18/2016,4.33,4.7416,0.6654,14.6647,1.1328
3/25/2016,4.23,4.6575,0.6525,14.6512,1.1325
4/1/2016,4.22,4.6325,0.6452,14.6185,1.14
4/8/2016,4.11,4.5029,0.6255,14.5766,1.1468
4/15/2016,4.35,4.7767,0.6624,14.5679,1.1489
4/22/2016,4.31,4.7318,0.6569,14.4332,1.1524
4/29/2016,4.21,4.6144,0.637,14.3864,1.145
5/6/2016,3.98,4.3757,0.6037,14.3952,1.1403
5/13/2016,3.87,4.2813,0.5883,14.3413,1.1392
5/20/2016,3.87,4.3049,0.5864,14.2015,1.1383
5/27/2016,4.08,4.5414,0.6193,14.1811,1.1369
6/3/2016,4.19,4.6542,0.6339,14.1608,1.1355
6/10/2016,4.19,4.6655,0.6346,14.1322,1.1382
6/17/2016,4.11,4.5954,0.6234,13.9505,1.1312
6/24/2016,4.31,4.855,0.6566,13.9224,1.1273
7/1/2016,4.29,4.8478,0.6547,13.905,1.126
7/8/2016,4.14,4.6978,0.6337,13.8839,1.1247
7/15/2016,4.34,4.9295,0.6645,13.8358,1.1177
7/22/2016,4.39,4.9738,0.6691,13.8145,1.1163
7/29/2016,4.39,4.9349,0.6636,13.8171,1.1149
8/5/2016,4.48,5.0351,0.6773,13.8218,1.1135
8/12/2016,4.79,5.3522,0.7193,13.8288,1.1147
8/19/2016,4.91,5.4959,0.7376,13.8075,1.1131
8/26/2016,4.94,5.5368,0.7436,13.7799,1.1114
9/2/2016,4.9,5.4985,0.7377,13.6986,1.102
9/9/2016,5.06,5.6871,0.7619,13.6743,1.1001
9/16/2016,4.82,5.3615,0.7195,13.7123,1.107
9/23/2016,4.88,5.4843,0.7258,13.6548,1.1015
9/30/2016,4.85,5.453,0.7196,13.628,1.0995
10/7/2016,5,5.6225,0.743,13.6832,1.1002
10/14/2016,4.72,5.3278,0.7034,13.6773,1.1013
10/21/2016,4.72,5.3396,0.7064,13.6688,1.1017
10/28/2016,4.63,5.2664,0.6954,13.6144,1.0996
11/4/2016,4.65,5.2638,0.6921,13.6249,1.1022
11/11/2016,4.6,5.2414,0.688,13.6003,1.1001
11/18/2016,4.48,5.1659,0.677,13.5757,1.0979
11/25/2016,4.67,5.404,0.7073,13.5511,1.0958
12/2/2016,4.75,5.4401,0.7137,13.6153,1.1121
12/9/2016,4.85,5.58,0.7309,13.5917,1.1103
12/16/2016,4.57,5.2971,0.6926,13.5682,1.1085
12/23/2016,4.49,5.1945,0.6773,13.4963,1.097
12/30/2016,4.65,5.3769,0.7,13.472,1.095
1/6/2017,4.73,5.434,0.7069,13.5414,1.1026
1/13/2017,4.77,5.4423,0.7069,13.5288,1.1022
1/20/2017,4.71,5.3642,0.6919,13.4965,1.0978
1/27/2017,4.78,5.4616,0.703,13.5019,1.0975
2/3/2017,4.7,5.3183,0.6845,13.4415,1.0973
2/10/2017,4.86,5.5344,0.7112,13.4282,1.0969
2/17/2017,5.06,5.7432,0.7373,13.4276,1.0966
2/24/2017,5.14,5.7977,0.7471,13.4275,1.0993
3/3/2017,4.93,5.5838,0.7189,13.4316,1.0993
3/10/2017,4.91,5.5545,0.7181,13.4205,1.0994
3/17/2017,5.16,5.8175,0.7525,13.4093,1.0994
3/24/2017,5.16,5.7832,0.7499,13.41,1.0995
3/31/2017,5.08,5.6496,0.7368,13.5382,1.1098
4/7/2017,5.01,5.5634,0.7313,13.6462,1.1148
4/14/2017,5.02,5.5656,0.7278,13.61,1.1137
4/21/2017,4.96,5.491,0.7195,13.682,1.1189
4/28/2017,5.08,5.6175,0.7348,13.6683,1.1185
5/5/2017,4.96,5.509,0.7155,13.6234,1.1127
5/12/2017,5.08,5.6471,0.7319,13.6339,1.1113
5/19/2017,5.07,5.6227,0.7272,13.5933,1.1093
5/26/2017,5.19,5.7358,0.7402,13.5963,1.1077
6/2/2017,5.4,5.9234,0.7635,13.5831,1.1048
6/9/2017,5.22,5.7021,0.734,13.5737,1.1044
6/16/2017,5.19,5.6695,0.7289,13.5577,1.1039
6/23/2017,5.2,5.6862,0.7315,13.5498,1.1025
6/30/2017,5.27,5.7122,0.7351,13.5115,1.0945
7/7/2017,4.88,5.3052,0.6819,13.4973,1.0914
7/14/2017,5.27,5.7015,0.7321,13.4932,1.0908
7/21/2017,5.36,5.7645,0.7413,13.4928,1.0917
7/28/2017,5.42,5.8287,0.7476,13.4325,1.0925
8/4/2017,5.63,6.0306,0.7736,13.4227,1.0907
8/11/2017,5.3,5.6257,0.721,13.4094,1.093
8/18/2017,5.48,5.8153,0.7445,13.4032,1.0929
